"crop" "prop"
"pe" 0.00257711422348083
"fb" 0.0104517746717711
"gr" 0.490135561803063
"ma" 0.0941973629171607
"or" 0.06108380148547
"vb" 0.0130786630847473
"vo" 0.0230592463571457
"ps" 0.0591876232457699
"po" 0.00317158167730666
"sb" 0.0332474990392377
"sw" 0.0270983759942322
"so" 0.00716000073678197
"wb" 0.0838668117086086
"ww" 0.0754564118544499
"wo" 0.0162281712007748
